pmcid	unmapped_diseases
PMC10000671	['colorectal hepatic metastases']
PMC10001016	['pituitary adenoma bone invasion']
PMC10001201	['basal-like triple-negative breast cancer']
PMC10001413	['age-related dementia', 'aging-related cognitive decline']
PMC10002107	['infections caused by multi-drug-resistant bacteria']
PMC10002482	['occlusive cardiovascular diseases']
PMC10002513	['severe aplastic anemia']
PMC10002561	['pm2.5-induced lung injury']
PMC10002788	['germinal matrix hemorrhage']
PMC10002945	['hepatic injury']
PMC10003304	['wound healing']
PMC10003360	['influenza a virus infection']
PMC10003437	['mucopolysaccharidosis i-hurler']
PMC10003607	['severe asthma']
PMC10003694	['arterial thrombosis']
PMC10003747	['her2-positive breast cancer']
PMC10004267	['acute altitude hypoxia']
PMC10004339	['methamphetamine substance-use disorder']
PMC10004569	['obesity-induced liver injury']
PMC10004634	['activated b-cell-like diffuse large b-cell lymphoma']
PMC10005127	['cerebral folate deficiency']
PMC10005374	['doxorubicin-induced cardiotoxicity']
PMC10005614	['uvb-induced inflammation', 'uvb-induced oxidative stress']
PMC10006322	['attention-deficit/hyperactivity disorder']
PMC10006388	['chronic wounds', 'infected wounds', 'dehiscent wounds']
PMC10006676	['doxorubicin-induced cardiotoxicity']
PMC10007843	['metastatic castration resistant prostate cancer']
PMC10007997	['methicillin-resistant staphylococcus aureus infection']
PMC10008082	['cancer metastasis']
PMC10008118	['arthrofibrosis']
PMC10008284	['preterm delivery']
PMC10008686	['skeletal muscle injury']
PMC10008730	['bone metastasis']
PMC10008745	['neuroendocrine cancer']
PMC10008843	['osseous defects']
PMC10009536	['acetaminophen-induced acute liver injury']
PMC10009643	['methamphetamine-induced cognitive disorder']
PMC10010022	['nonalcoholic fatty pancreatitis']
PMC10010116	['sudan virus disease']
PMC10010290	['metastatic breast cancer']
PMC10010733	['spinal cord ischemia-reperfusion injury']
PMC10011136	['arteriovenous fistula postoperative stenosis']
PMC10011190	['heart failure with preserved ejection fraction']
PMC10011440	"[""sporadic alzheimer's disease""]"
PMC10011522	['chronic temporal lobe epilepsy']
PMC10011523	['graft rejection']
PMC10011572	['gastric esophageal junction cancer']
PMC10011747	['castration resistant prostate cancer']
PMC10011886	['metastatic colorectal cancer']
PMC10012271	['carbapenem-resistant enterobacterales']
PMC10012293	['pseudomonas pulmonary infection']
PMC10012976	['corrosive esophagus burns']
PMC10013135	['liver ischemia/reperfusion injury']
PMC10013430	['myocardial no-reflow']
PMC10013759	['bone injury']
PMC10013771	['high grade serous ovarian cancer']
PMC10013814	['solid tumors']
PMC10013822	['corneal alkali burns']
PMC10013829	['diabetic wound healing']
PMC10014070	['pseudomonas aeruginosa pneumonia', 'escherichia coli pyogenic liver abscess']
PMC10014099	['myeloproliferative neoplasms']
PMC10014164	['addictive disorders']
PMC10014186	['cerebral ischemic stroke']
PMC10014187	['myocardial fibrosis']
PMC10015116	['notch-driven cancers']
PMC10015236	['primary bone cancer']
PMC10015383	['brachial plexus injury']
PMC10015409	['structural valve degeneration']
PMC10015898	['lung cancer brain metastases']
PMC10016249	['solid tumors']
PMC10016276	['b-cell malignancies']
PMC10016294	['her2-positive breast cancer']
PMC10017100	['solid tumors']
PMC10017675	['oxalate nephropathy']
PMC10017701	['e. coli pneumonia']
PMC10017709	['chemotherapy-induced nephropathy']
PMC10017765	['kidney injury']
PMC10017827	['extensive trauma', 'cooling', 'severe infection by bacteria or viruses']
PMC10017941	['respiratory syncytial virus disease']
PMC10018392	['carcinoembryonic antigen-expressing tumors']
PMC10018396	"[""traveler's diarrhea"", 'diarrheal disease']"
PMC10018452	['pediatric rhabdomyosarcoma']
PMC10018479	['septic acute kidney injury']
PMC10018926	['perioperative neurocognitive disorders']
PMC10019938	['vincristine-induced peripheral neuropathy']
PMC10020188	['castration-resistant prostate cancer']
PMC10020232	['infectious inflammation']
PMC10020359	['acute cerebral infarction']
PMC10020422	['chronic inflammatory demyelinating polyneuropathy', 'multifocal motor neuropathy']
PMC10020917	['metastatic breast cancer', 'bone metastatic breast cancer']
PMC10022398	['psychostimulant addiction']
PMC10022752	['inhalational anthrax']
PMC10022903	['kras-mutant non-small cell lung cancer']
PMC10023546	['chemotherapy-induced peripheral neuropathy']
PMC10023558	['castration-resistant prostate cancer']
PMC10023686	['myelodysplastic neoplasms']
PMC10024148	['perioperative neurocognitive disorder']
PMC10024194	['pathological retinal angiogenesis']
PMC10024454	['non-alcoholic fatty liver']
PMC10024494	['adriamycin-induced cardiotoxicity']
PMC10024630	['cardiovascular disorders']
PMC10024672	['lung ischemia-reperfusion injury']
PMC10024740	['b cell lymphomas']
PMC10024809	['excisional wound']
PMC10024865	['metastatic cancer']
PMC10024949	['bone metastases']
PMC10025096	['steatosis']
PMC10025360	['preterm brain injury']
PMC10025487	['behavioral and cognitive deficits associated with adolescent methamphetamine abuse']
PMC10026384	['gastroesophageal junction neoplasms']
PMC10026454	['perioperative neurocognitive disorders']
PMC10026743	['multidrug-resistant breast cancer']
PMC10026757	['alcohol liver disease']
PMC10026899	['hepatic ischemia-reperfusion injury']
PMC10026927	['acute secondary peritonitis']
PMC10027478	['chronic diabetic wounds']
PMC10027510	['diabetic ulcer']
PMC10027703	['large bone defects']
PMC10027881	['lung tumorigenesis']
PMC10028152	['non?small cell lung cancer']
PMC10028969	['human african trypanosomiasis']
PMC10030891	['hiv-1']
PMC10031002	['diabetes angiopathy']
PMC10031260	['kras-mutant non-small cell lung cancer']
PMC10031269	['alveolar capillary dysplasia with misaligned pulmonary veins']
PMC10031283	['breast cancer metastasis']
PMC10031381	['activated b cell-like diffuse large b-cell lymphoma']
PMC10032225	['skeletal muscle ischaemia-reperfusion injury', 'kidney injury']
PMC10032610	['corneal graft rejection']
PMC10033289	['severe respiratory disease']
PMC10033311	['spinal cord ischemia-reperfusion injury']
PMC10033587	['perinatal white matter injuries']
PMC10033926	['liver injury', 'hepatocellular damage']
PMC10034035	['hiv-1']
PMC10034069	['primary dysmenorrea']
PMC10034483	['severe influenza a virus infection']
PMC10034768	['sepsis-associated acute lung injury']
PMC10034839	['hpv-positive cervical cancer']
PMC10034951	['aortic endothelial dysfunction']
PMC10035406	['metastatic breast cancer']
PMC10035525	['bone metastatic mammary carcinoma']
PMC10035597	['diabetic central neuropathy of spinal cord']
PMC10035898	['metastatic colorectal cancer']
PMC10036132	['hormone receptor-positive breast cancer']
PMC10036429	['pancreas ductal adenocarcinoma']
PMC10036880	['t cell malignancies']
PMC10036983	['radiation toxicity']
PMC10037405	['influenza a']
PMC10037507	['oxaliplatin-induced hepatotoxicity']
PMC10037624	['lung metastatic melanoma']
PMC10037824	['myocardial ischemia-reperfusion injury']
PMC10037834	['doxorubicin-induced cardiomyopathy']
PMC10039586	['myocardial ischemia reperfusion injury']
PMC10039662	['myelosuppression']
PMC10039664	['infected bone defects']
PMC10039835	['renal injury']
PMC10040455	['intestinal ischemia/reperfusion injury', 'enterogenic sepsis']
PMC10040673	['acute lung inflammation']
