pmcid	unmapped_drugs
PMC10000236	['sulfobutylether?-cyclodextrin']
PMC10000671	['electrochemotherapy']
PMC10000780	['stem cell factor', 'granulocyte colony-stimulating factor']
PMC10000871	['?ppgpp s. gallinarum carrying prrnbp1-psp-tp']
PMC10001016	['il-1? monoclonal antibody (il-1? mab)', 'clodronate liposome']
PMC10001065	['tcdna-aso']
PMC10001369	['cdx-011']
PMC10001455	['placebo']
PMC10001971	['c?116-mrnv-cp?-rbd', 'c?116-mrnv-cp', 'c?116-mrnv-cp?-rbd']
PMC10002107	['fusidic acid ointment', 'p. australis toxin-ii']
PMC10002220	['gc51', 'ec31', 'egc23']
PMC10002367	['zhubech']
PMC10002481	['mhy2013']
PMC10002482	['recombinant mouse bmper']
PMC10002561	['cnidium officinale']
PMC10002576	['1,25d']
PMC10002788	['2.12psel-crry', '2.3psel-crry']
PMC10002984	['compound 2', 'compound 3', 'compound 1', 'compound 4']
PMC10002999	['pt320', 'l-dopa/carbidopa']
PMC10003132	['?-sitosterol']
PMC10003159	['tar', 'ptx-sm-tar nps']
PMC10003304	['no-containing gas flow', 'dinitrosyl iron complex']
PMC10003382	['33 polypeptide', 'pep06']
PMC10003694	['pdrti', 'delonix regia trypsin inhibitor', 'pdrti-ri']
PMC10003747	['peptide-dox conjugate']
PMC10003757	['isochamaejasmine d']
PMC10004339	['meth hapten conjugated with oxidized mannan']
PMC10004640	['sham subtilosomes', 'naked cox-2 sirna', 'subtilosome-entrapped cox-2 sirna', 'egg-pc-liposome-entrapped cox-2 sirna', 'sham egg-pc liposomes', 'mixed sirna']
PMC10004980	['ctla4ig']
PMC10005075	['xyy-cp1106']
PMC10005105	['ialuset plus']
PMC10005127	['folate receptor alpha antibody', 'non-relevant igg', 'normal folate replete rat chow']
PMC10005314	['transfersome with a druglipidsurfactant ratio of 1:3:0.5', 'r-carvedilol']
PMC10005333	['seh inhibitor']
PMC10005374	['ceo2@bsa nps']
PMC10005531	['asb ethanolic extract']
PMC10005636	['pcsa', 'pcsa as a liposomal nanophotosensitizer']
PMC10005659	['?-muricholic acid']
PMC10006228	['anti-pd1']
PMC10006388	['gel-h.p.cur']
PMC10006507	['her2-targeting dbte', 'egfrviii-dbte']
PMC10006595	['a?779', 'ang 17']
PMC10006676	['api-coated aunps']
PMC10006875	['autonomic nervous system blockade']
PMC10007843	['212pb-tcmc-ys5', 'cold ys5']
PMC10007856	['3a+gel', 'i3a+gel', 'semaphorin 3a']
PMC10007874	['radiation']
PMC10007931	['lauromacrogol']
PMC10007983	['es nps-ha', 'nc nps-ha']
PMC10007997	['(1,4-dbtpp)br2']
PMC10008018	['mev-np']
PMC10008082	['acid-polyethylene glycol block copolymer nanoparticles', 'inhibitor?all-trans retinoic acid', 'atra pellet']
PMC10008118	['ifn-?-2b']
PMC10008211	['egfrviii-car-t cells', 'isotype control igg']
PMC10008399	['2-(benzyloxy)-n-(2-oxo-2-(phenylamino) ethyl) indolin-3-ylidene) benzohydrazide', '2-(benzyloxy) benzohydrazide', '3-[(2-benzyloxy-benzoyl-hydrazono]-2-oxo-2, 3-dihydro-indol-1-yl]-acetic acid ethyl ester)', 'n-(1-benzyl-2-oxoindolin-3-ylidene)-2-(benzyloxy)benzohazide', '2-(4-chlorobenzyloxy)-n-(2-oxo-1-(2-oxo-2-(phenylamino)ethyl)indolin-3-ylidene)benzohydrazide', '2-(4-chlorobenzyloxy)-n-(1-benzyl-2-oxoindolin-3-ylidene) benzohydrazide']
PMC10008628	['anti-pd-1 antibody']
PMC10008684	['polyphyllin b']
PMC10008730	['cmlym-dor']
PMC10008731	['tiy']
PMC10008740	['anti-pd1 inhibitor', 'fzu00,004']
PMC10009339	['tongguan tang']
PMC10009414	['selective serotonin reuptake inhibitors']
PMC10009536	['cramp(1-39)']
PMC10009559	['shuanglu tongnao compound recipe', 'clostridium butyricum']
PMC10009643	['dnajb1-tua2']
PMC10009695	['dox-sshel?her2', 'sshel?her2']
PMC10009754	['70']
PMC10009902	['anti-baff']
PMC10009975	['radiotherapy']
PMC10010022	['benzyl propylene glycoside']
PMC10010116	['vsv-sudv', 'vsv-marv']
PMC10010125	['pegylated-sertuercept', 'myr-sertuercept']
PMC10010186	['compound angelica ligusticum wallichii granule']
PMC10010188	['active fraction of polyrhachis vicina rogers']
PMC10010236	['angiotensin-(17)']
PMC10010325	['zl-1211']
PMC10010335	['st-pga-dox', 'oximuno']
PMC10010340	['anti-ctla-4', 'anti-pd-1']
PMC10010383	['adc sar408701 analog', 'anti-ceacam5 car-t cells']
PMC10010539	['th-trastuzumab-mcc-cpg', 'cpg odn', 'trastuzumab-mcc-cpg']
PMC10011003	['huangqin-tang']
PMC10011089	['dsv4']
PMC10011136	['?-aminopropionitrile']
PMC10011151	['et-1 receptor antagonists']
PMC10011166	['ad5-gngcopt']
PMC10011329	['3-{[(4-methyl phenyl) sulfonyl] amino} benzoate']
PMC10011522	['focused ultrasound']
PMC10011523	['diphtheria toxin', 'il-2/jes6-1cx']
PMC10011609	['anti-pd-1 blockade']
PMC10011747	['itri-126', 'itri-90']
PMC10012178	['centi-c10 in histidine/sucrose buffer', 'centi-c10']
PMC10012268	['17 (wjm-228)']
PMC10012293	['l-paf', 'l-paf becc', 'medimmune emulsion']
PMC10012453	['kai-xin-san']
PMC10012528	['pth1-34']
PMC10013371	['wrh-2412']
PMC10013393	['tripterygium glycosides']
PMC10013430	['snp', 'tongmai yangxin pill']
PMC10013506	['rongjin niantong fang']
PMC10013755	['focused ultrasound', 'ha?dox?cpt', 'ha?dox?cpt']
PMC10013758	['ecn c6', 'ecn wt']
PMC10013759	['gelma/op3?ma/a?cxcl9@pcec', 'gelma', 'gelma/op3?ma']
PMC10013768	['colistin sulfate']
PMC10013770	['mu', 'lf-lp-dtx', 'lf-lp-mu-dtx', 'peg-lp-dtx']
PMC10013810	['egfp mrna-lnp', 'hil-10 mrna-lnp', 'hil-10']
PMC10013814	['plt?m@p', 'pd?l1 antibody']
PMC10013822	['sivegf and insulin-loaded tmc-coated liposomes', 'sivegf-loaded tmc-coated liposomes', 'tmc-coated insulin liposomes', 'insulin-loaded liposomes', 'insulin']
PMC10013828	['carrier?free il?12', 'ul?nps', 'ple?il?12?nps']
PMC10013829	['ha microgels', 'ha?la granular gel']
PMC10013831	['ntb-ns', 'ntb-esy']
PMC10013841	['cyanovirin-n']
PMC10013949	['bim oe', 'mir?221 mimics']
PMC10013963	['olaparib-ga']
PMC10014051	['dta?1.migg2a']
PMC10014070	['20:80-bu:dm']
PMC10014099	['nup-17d']
PMC10014162	['ha-adt']
PMC10014186	['polygonatum odoratum']
PMC10014544	['hyperbaric oxygen']
PMC10014853	['ultrasound', 'cl@lev-nps']
PMC10015015	['piperidone analogue of curcumin']
PMC10015038	['recombinant human reg3a protein']
PMC10015116	['z271-0326', 'um-74', 'um-94']
PMC10015141	['pc63435', 'anti-il-1? antibodies']
PMC10015236	['computer aided drug design molecule 522']
PMC10015250	['tubastatina']
PMC10015450	['ultradiluted s protein']
PMC10015519	['cpg 1018', 'pf-d-trimer', 'pf-w-trimer', 'alum']
PMC10015579	['c21']
PMC10015699	['ar-nad', 'a tumor-targeting, ph-stimulated drug/shrna codelivery system']
PMC10015763	['rfc-?tp-l309c']
PMC10015845	['tw37']
PMC10015898	['rmps?r4f', 'p5091@rmps?r4f', 'pd?1 antibody']
PMC10016249	['car-t cells', 'nt-pgc-1?-transduced car-t cells', 'pgc-1?s571a-transduced car-t cells']
PMC10016253	['anti-cd38 car t cells']
PMC10016276	['ub-vv100', 'rapalog', 'cd3-cocal-gfp', 'ex vivo manufactured car t cells', 'cocal-pseudotyped vector displaying an anti-cd3 scfv but encoding a car of irrelevant specificity']
PMC10016294	['polyvalent igg', 'dominant negative tnf? inhibitor', 'dn protein inb03']
